
2024/11/06 (21:21:49) | ===> btop++ v.1.4.0
2024/11/06 (21:21:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (02:07:44) | ===> btop++ v.1.4.0
2024/11/07 (02:07:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (13:01:07) | ===> btop++ v.1.4.0
2024/11/07 (13:01:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (13:02:34) | ===> btop++ v.1.4.0
2024/11/07 (13:02:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (20:36:54) | ===> btop++ v.1.4.0
2024/11/07 (20:36:54) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/07 (20:38:21) | INFO: Logger set to INFO
2024/11/07 (20:38:21) | INFO: Logger set to DEBUG

2024/11/07 (19:21:17) | ===> btop++ v.1.4.0
2024/11/07 (19:21:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (20:50:45) | ===> btop++ v.1.4.0
2024/11/07 (20:50:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (20:53:39) | ===> btop++ v.1.4.0
2024/11/07 (20:53:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (20:54:46) | ===> btop++ v.1.4.0
2024/11/07 (20:54:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (19:38:36) | ===> btop++ v.1.4.0
2024/11/08 (19:38:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (19:39:11) | ===> btop++ v.1.4.0
2024/11/08 (19:39:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (19:39:32) | ===> btop++ v.1.4.0
2024/11/08 (19:39:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (19:39:37) | ===> btop++ v.1.4.0
2024/11/08 (19:39:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (19:41:24) | ===> btop++ v.1.4.0
2024/11/08 (19:41:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (19:41:36) | ===> btop++ v.1.4.0
2024/11/08 (19:41:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (20:14:01) | ===> btop++ v.1.4.0
2024/11/08 (20:14:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (21:01:13) | ===> btop++ v.1.4.0
2024/11/08 (21:01:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (08:40:50) | ===> btop++ v.1.4.0
2024/11/09 (08:40:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (10:25:09) | ===> btop++ v.1.4.0
2024/11/09 (10:25:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (10:25:57) | ===> btop++ v.1.4.0
2024/11/09 (10:25:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (10:26:42) | ===> btop++ v.1.4.0
2024/11/09 (10:26:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (10:26:59) | ===> btop++ v.1.4.0
2024/11/09 (10:26:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (10:27:30) | ===> btop++ v.1.4.0
2024/11/09 (10:27:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (12:55:51) | ===> btop++ v.1.4.0
2024/11/09 (12:55:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (17:57:34) | ===> btop++ v.1.4.0
2024/11/10 (17:57:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (15:30:05) | ===> btop++ v.1.4.0
2024/11/10 (15:30:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (09:33:37) | ===> btop++ v.1.4.0
2024/11/11 (09:33:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (11:51:45) | ===> btop++ v.1.4.0
2024/11/11 (11:51:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (11:52:01) | ===> btop++ v.1.4.0
2024/11/11 (11:52:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (11:52:05) | ===> btop++ v.1.4.0
2024/11/11 (11:52:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (13:00:02) | ===> btop++ v.1.4.0
2024/11/11 (13:00:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (22:11:18) | ===> btop++ v.1.4.0
2024/11/11 (22:11:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (08:21:10) | ===> btop++ v.1.4.0
2024/11/12 (08:21:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (08:33:10) | ===> btop++ v.1.4.0
2024/11/12 (08:33:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (20:30:04) | ===> btop++ v.1.4.0
2024/11/12 (20:30:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (20:42:01) | ===> btop++ v.1.4.0
2024/11/12 (20:42:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (11:22:48) | ===> btop++ v.1.4.0
2024/11/13 (11:22:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (11:01:39) | ===> btop++ v.1.4.0
2024/11/14 (11:01:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (11:19:33) | ===> btop++ v.1.4.0
2024/11/14 (11:19:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (09:01:50) | ===> btop++ v.1.4.0
2024/11/15 (09:01:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (09:28:07) | ===> btop++ v.1.4.0
2024/11/15 (09:28:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (09:28:30) | ===> btop++ v.1.4.0
2024/11/15 (09:28:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (11:48:20) | ===> btop++ v.1.4.0
2024/11/15 (11:48:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (09:46:00) | ===> btop++ v.1.4.0
2024/11/17 (09:46:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (10:47:22) | ===> btop++ v.1.4.0
2024/11/17 (10:47:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (22:16:41) | ===> btop++ v.1.4.0
2024/11/17 (22:16:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (22:16:47) | ===> btop++ v.1.4.0
2024/11/17 (22:16:47) | WARNING: Intel GPU: Failed to initialize PMU
